order_id,client_id,product_id,order_date,quantity,unit_price
O00001,C0018,P025,2025-03-10,7,3888.03
O00001,C0018,P038,2025-03-10,10,1222.34
O00001,C0018,P044,2025-03-10,2,2038.6
O00001,C0018,P008,2025-03-10,7,1074.3
O00001,C0018,P008,2025-03-10,7,1074.3
O00002,C0077,P027,2024-11-24,2,1962.62
O00002,C0077,P049,2024-11-24,9,2057.06
O00002,C0077,P044,2024-11-24,5,2038.6
O00002,C0077,P001,2024-11-24,6,222.55
O00003,C0015,P022,2024-09-23,5,4438.71
O00003,C0015,P023,2024-09-23,9,2929.03
O00003,C0015,P048,2024-09-23,3,2199.33
O00004,C0065,P044,2024-08-06,5,2038.6
O00005,C0082,P031,2024-11-16,9,3538.92
O00005,C0082,P008,2024-11-16,1,1074.3
O00005,C0082,P039,2024-11-16,10,4044.72
O00005,C0082,P027,2024-11-16,6,1962.62
O00005,C0082,P039,2024-11-16,8,4044.72
O00006,C0003,P047,2024-12-07,5,2740.99
O00007,C0031,P013,2024-05-03,10,1461.57
O00008,C0011,P037,2024-12-02,2,4229.97
O00009,C0098,P039,2025-01-22,10,4044.72
O00009,C0098,P007,2025-01-22,7,3049.89
O00009,C0098,P024,2025-01-22,4,324.54
O00009,C0098,P028,2025-01-22,9,3214.85
O00009,C0098,P014,2025-01-22,4,4790.34
O00010,C0092,P020,2024-05-18,9,486.12
O00010,C0092,P034,2024-05-18,8,900.67
O00010,C0092,P019,2024-05-18,2,711.65
O00011,C0032,P004,2025-01-31,9,526.0
O00011,C0032,P002,2025-01-31,4,1299.97
O00012,C0076,P001,2024-06-29,1,222.55
O00012,C0076,P036,2024-06-29,4,1176.11
O00013,C0009,P043,2024-12-08,2,1141.87
O00014,C0066,P014,2024-06-30,9,4790.34
O00014,C0066,P025,2024-06-30,3,3888.03
O00015,C0093,P029,2024-07-21,7,897.01
O00015,C0093,P013,2024-07-21,6,1461.57
O00015,C0093,P024,2024-07-21,7,324.54
O00015,C0093,P021,2024-07-21,7,4164.08
O00015,C0093,P005,2024-07-21,8,255.74
O00016,C0094,P034,2024-12-22,2,900.67
O00017,C0008,P037,2024-05-11,9,4229.97
O00017,C0008,P041,2024-05-11,8,4574.37
O00017,C0008,P006,2024-05-11,3,1171.33
O00017,C0008,P010,2024-05-11,7,2987.4
O00018,C0024,P024,2024-06-09,9,324.54
O00018,C0024,P044,2024-06-09,2,2038.6
O00018,C0024,P004,2024-06-09,1,526.0
O00019,C0084,P042,2024-07-12,8,4394.2
O00019,C0084,P049,2024-07-12,8,2057.06
O00019,C0084,P047,2024-07-12,4,2740.99
O00019,C0084,P043,2024-07-12,7,1141.87
O00019,C0084,P009,2024-07-12,1,2155.65
O00020,C0022,P001,2024-06-16,5,222.55
O00020,C0022,P020,2024-06-16,7,486.12
O00020,C0022,P047,2024-06-16,9,2740.99
O00020,C0022,P040,2024-06-16,8,1411.93
O00021,C0020,P015,2024-11-10,10,600.83
O00021,C0020,P049,2024-11-10,9,2057.06
O00022,C0008,P003,2024-05-09,9,3708.71
O00022,C0008,P030,2024-05-09,3,1126.58
O00022,C0008,P026,2024-05-09,1,4291.06
O00023,C0066,P043,2024-06-09,2,1141.87
O00024,C0077,P034,2024-04-11,4,900.67
O00025,C0052,P048,2024-09-15,10,2199.33
O00026,C0032,P030,2024-10-01,5,1126.58
O00026,C0032,P031,2024-10-01,4,3538.92
O00026,C0032,P021,2024-10-01,6,4164.08
O00026,C0032,P030,2024-10-01,4,1126.58
O00026,C0032,P027,2024-10-01,5,1962.62
O00027,C0051,P034,2025-01-02,6,900.67
O00027,C0051,P015,2025-01-02,2,600.83
O00028,C0002,P032,2024-11-26,9,3084.74
O00028,C0002,P029,2024-11-26,5,897.01
O00028,C0002,P005,2024-11-26,3,255.74
O00028,C0002,P027,2024-11-26,6,1962.62
O00029,C0009,P019,2024-10-09,9,711.65
O00029,C0009,P008,2024-10-09,5,1074.3
O00030,C0079,P001,2024-08-01,3,222.55
O00030,C0079,P041,2024-08-01,5,4574.37
O00030,C0079,P015,2024-08-01,2,600.83
O00030,C0079,P034,2024-08-01,2,900.67
O00030,C0079,P047,2024-08-01,9,2740.99
O00031,C0020,P015,2024-04-22,5,600.83
O00031,C0020,P011,2024-04-22,9,3818.16
O00031,C0020,P018,2024-04-22,8,3675.69
O00032,C0033,P005,2024-07-08,7,255.74
O00033,C0036,P001,2024-07-30,3,222.55
O00034,C0082,P009,2025-01-09,9,2155.65
O00034,C0082,P023,2025-01-09,1,2929.03
O00034,C0082,P036,2025-01-09,2,1176.11
O00035,C0010,P028,2024-07-28,10,3214.85
O00035,C0010,P042,2024-07-28,9,4394.2
O00036,C0019,P007,2025-01-08,1,3049.89
O00036,C0019,P016,2025-01-08,6,573.91
O00036,C0019,P045,2025-01-08,4,800.07
O00036,C0019,P040,2025-01-08,4,1411.93
O00037,C0086,P018,2025-03-09,9,3675.69
O00038,C0053,P038,2024-10-03,3,1222.34
O00038,C0053,P047,2024-10-03,7,2740.99
O00038,C0053,P012,2024-10-03,1,3520.88
O00038,C0053,P009,2024-10-03,3,2155.65
O00038,C0053,P040,2024-10-03,6,1411.93
O00039,C0053,P014,2024-05-07,2,4790.34
O00039,C0053,P040,2024-05-07,7,1411.93
O00040,C0005,P012,2025-01-01,4,3520.88
O00040,C0005,P041,2025-01-01,4,4574.37
O00040,C0005,P024,2025-01-01,1,324.54
O00040,C0005,P016,2025-01-01,4,573.91
O00041,C0052,P014,2024-07-09,6,4790.34
O00041,C0052,P004,2024-07-09,9,526.0
O00041,C0052,P039,2024-07-09,7,4044.72
O00042,C0087,P017,2025-04-03,5,3058.26
O00042,C0087,P002,2025-04-03,1,1299.97
O00042,C0087,P044,2025-04-03,2,2038.6
O00042,C0087,P014,2025-04-03,10,4790.34
O00042,C0087,P030,2025-04-03,7,1126.58
O00043,C0045,P022,2024-07-21,10,4438.71
O00043,C0045,P050,2024-07-21,4,4986.9
O00043,C0045,P006,2024-07-21,5,1171.33
O00044,C0006,P001,2025-02-09,4,222.55
O00044,C0006,P047,2025-02-09,6,2740.99
O00044,C0006,P027,2025-02-09,7,1962.62
O00044,C0006,P036,2025-02-09,2,1176.11
O00045,C0086,P032,2025-02-11,5,3084.74
O00045,C0086,P034,2025-02-11,9,900.67
O00045,C0086,P007,2025-02-11,5,3049.89
O00046,C0086,P017,2024-12-08,7,3058.26
O00046,C0086,P035,2024-12-08,3,1422.74
O00046,C0086,P028,2024-12-08,10,3214.85
O00046,C0086,P010,2024-12-08,10,2987.4
O00047,C0039,P028,2024-11-25,10,3214.85
O00047,C0039,P001,2024-11-25,10,222.55
O00047,C0039,P015,2024-11-25,6,600.83
O00047,C0039,P022,2024-11-25,8,4438.71
O00048,C0057,P034,2024-12-22,3,900.67
O00048,C0057,P026,2024-12-22,2,4291.06
O00048,C0057,P040,2024-12-22,5,1411.93
O00048,C0057,P048,2024-12-22,9,2199.33
O00049,C0085,P017,2025-02-16,4,3058.26
O00049,C0085,P041,2025-02-16,3,4574.37
O00049,C0085,P038,2025-02-16,1,1222.34
O00049,C0085,P034,2025-02-16,1,900.67
O00049,C0085,P012,2025-02-16,4,3520.88
O00050,C0061,P043,2025-04-07,7,1141.87
O00050,C0061,P004,2025-04-07,8,526.0
O00050,C0061,P021,2025-04-07,7,4164.08
O00050,C0061,P032,2025-04-07,4,3084.74
O00050,C0061,P010,2025-04-07,3,2987.4
O00051,C0084,P045,2024-06-25,2,800.07
O00052,C0100,P011,2024-09-22,9,3818.16
O00052,C0100,P041,2024-09-22,4,4574.37
O00052,C0100,P035,2024-09-22,2,1422.74
O00052,C0100,P024,2024-09-22,8,324.54
O00053,C0018,P034,2024-05-24,8,900.67
O00053,C0018,P050,2024-05-24,10,4986.9
O00053,C0018,P030,2024-05-24,9,1126.58
O00053,C0018,P048,2024-05-24,7,2199.33
O00054,C0071,P045,2024-11-07,4,800.07
O00054,C0071,P038,2024-11-07,5,1222.34
O00054,C0071,P024,2024-11-07,9,324.54
O00054,C0071,P013,2024-11-07,8,1461.57
O00055,C0081,P014,2024-07-06,5,4790.34
O00055,C0081,P004,2024-07-06,4,526.0
O00056,C0035,P016,2024-12-17,4,573.91
O00056,C0035,P028,2024-12-17,7,3214.85
O00056,C0035,P007,2024-12-17,3,3049.89
O00057,C0091,P004,2024-06-06,9,526.0
O00057,C0091,P021,2024-06-06,8,4164.08
O00058,C0054,P011,2025-03-28,7,3818.16
O00059,C0050,P048,2024-07-22,6,2199.33
O00059,C0050,P001,2024-07-22,5,222.55
O00059,C0050,P045,2024-07-22,7,800.07
O00059,C0050,P029,2024-07-22,7,897.01
O00059,C0050,P024,2024-07-22,9,324.54
O00060,C0096,P040,2025-02-25,7,1411.93
O00060,C0096,P045,2025-02-25,6,800.07
O00060,C0096,P025,2025-02-25,7,3888.03
O00060,C0096,P014,2025-02-25,3,4790.34
O00060,C0096,P025,2025-02-25,8,3888.03
O00061,C0017,P027,2024-06-04,7,1962.62
O00061,C0017,P046,2024-06-04,3,1308.47
O00061,C0017,P030,2024-06-04,8,1126.58
O00061,C0017,P034,2024-06-04,3,900.67
O00061,C0017,P005,2024-06-04,1,255.74
O00062,C0034,P017,2024-05-07,5,3058.26
O00062,C0034,P023,2024-05-07,7,2929.03
O00062,C0034,P017,2024-05-07,5,3058.26
O00062,C0034,P044,2024-05-07,2,2038.6
O00063,C0061,P038,2024-05-03,1,1222.34
O00064,C0045,P033,2024-06-13,1,2717.29
O00064,C0045,P040,2024-06-13,1,1411.93
O00065,C0032,P042,2025-02-11,4,4394.2
O00065,C0032,P032,2025-02-11,3,3084.74
O00066,C0061,P029,2024-08-07,4,897.01
O00067,C0060,P039,2024-11-27,2,4044.72
O00067,C0060,P009,2024-11-27,3,2155.65
O00067,C0060,P031,2024-11-27,5,3538.92
O00068,C0014,P002,2025-01-25,4,1299.97
O00068,C0014,P016,2025-01-25,2,573.91
O00068,C0014,P034,2025-01-25,10,900.67
O00068,C0014,P048,2025-01-25,4,2199.33
O00068,C0014,P020,2025-01-25,2,486.12
O00069,C0090,P043,2025-02-24,10,1141.87
O00069,C0090,P031,2025-02-24,1,3538.92
O00069,C0090,P007,2025-02-24,6,3049.89
O00070,C0069,P034,2024-11-17,7,900.67
O00070,C0069,P004,2024-11-17,8,526.0
O00070,C0069,P033,2024-11-17,2,2717.29
O00070,C0069,P001,2024-11-17,7,222.55
O00071,C0047,P036,2025-04-02,5,1176.11
O00071,C0047,P022,2025-04-02,10,4438.71
O00071,C0047,P037,2025-04-02,9,4229.97
O00071,C0047,P049,2025-04-02,8,2057.06
O00072,C0060,P042,2024-07-31,2,4394.2
O00072,C0060,P030,2024-07-31,5,1126.58
O00072,C0060,P017,2024-07-31,8,3058.26
O00072,C0060,P013,2024-07-31,4,1461.57
O00073,C0097,P029,2024-09-27,6,897.01
O00073,C0097,P034,2024-09-27,3,900.67
O00073,C0097,P017,2024-09-27,8,3058.26
O00073,C0097,P025,2024-09-27,4,3888.03
O00074,C0046,P018,2024-05-28,5,3675.69
O00074,C0046,P045,2024-05-28,9,800.07
O00074,C0046,P036,2024-05-28,1,1176.11
O00075,C0067,P005,2024-10-09,8,255.74
O00075,C0067,P037,2024-10-09,9,4229.97
O00076,C0098,P035,2025-01-02,8,1422.74
O00076,C0098,P033,2025-01-02,8,2717.29
O00077,C0003,P015,2024-08-06,7,600.83
O00078,C0089,P016,2025-01-06,8,573.91
O00078,C0089,P030,2025-01-06,9,1126.58
O00079,C0068,P022,2024-09-13,8,4438.71
O00079,C0068,P038,2024-09-13,5,1222.34
O00079,C0068,P017,2024-09-13,5,3058.26
O00080,C0033,P007,2024-07-24,2,3049.89
O00080,C0033,P010,2024-07-24,9,2987.4
O00081,C0098,P010,2024-10-21,5,2987.4
O00081,C0098,P037,2024-10-21,10,4229.97
O00082,C0098,P030,2024-11-05,5,1126.58
O00082,C0098,P050,2024-11-05,1,4986.9
O00082,C0098,P042,2024-11-05,9,4394.2
O00082,C0098,P015,2024-11-05,3,600.83
O00082,C0098,P019,2024-11-05,5,711.65
O00083,C0006,P028,2024-10-18,3,3214.85
O00084,C0082,P006,2024-09-27,6,1171.33
O00084,C0082,P001,2024-09-27,3,222.55
O00084,C0082,P015,2024-09-27,1,600.83
O00084,C0082,P024,2024-09-27,5,324.54
O00085,C0062,P042,2024-05-11,7,4394.2
O00086,C0063,P029,2024-11-28,1,897.01
O00087,C0020,P041,2024-04-25,2,4574.37
O00087,C0020,P048,2024-04-25,4,2199.33
O00088,C0016,P039,2025-03-21,8,4044.72
O00088,C0016,P031,2025-03-21,8,3538.92
O00088,C0016,P040,2025-03-21,5,1411.93
O00088,C0016,P012,2025-03-21,10,3520.88
O00088,C0016,P027,2025-03-21,7,1962.62
O00089,C0040,P032,2024-09-24,4,3084.74
O00089,C0040,P031,2024-09-24,5,3538.92
O00089,C0040,P038,2024-09-24,2,1222.34
O00089,C0040,P048,2024-09-24,3,2199.33
O00089,C0040,P011,2024-09-24,4,3818.16
O00090,C0023,P004,2025-01-20,4,526.0
O00090,C0023,P001,2025-01-20,5,222.55
O00090,C0023,P023,2025-01-20,5,2929.03
O00090,C0023,P030,2025-01-20,8,1126.58
O00090,C0023,P015,2025-01-20,2,600.83
O00091,C0088,P047,2024-08-13,10,2740.99
O00091,C0088,P040,2024-08-13,4,1411.93
O00092,C0055,P028,2024-11-30,3,3214.85
O00093,C0035,P004,2024-07-16,5,526.0
O00093,C0035,P009,2024-07-16,10,2155.65
O00094,C0096,P047,2024-04-20,5,2740.99
O00094,C0096,P022,2024-04-20,9,4438.71
O00094,C0096,P024,2024-04-20,9,324.54
O00094,C0096,P016,2024-04-20,8,573.91
O00094,C0096,P021,2024-04-20,8,4164.08
O00095,C0011,P002,2024-05-15,10,1299.97
O00095,C0011,P022,2024-05-15,10,4438.71
O00095,C0011,P017,2024-05-15,1,3058.26
O00095,C0011,P013,2024-05-15,5,1461.57
O00095,C0011,P005,2024-05-15,10,255.74
O00096,C0006,P024,2024-07-07,5,324.54
O00096,C0006,P033,2024-07-07,3,2717.29
O00097,C0075,P032,2024-12-27,6,3084.74
O00097,C0075,P025,2024-12-27,6,3888.03
O00097,C0075,P005,2024-12-27,2,255.74
O00097,C0075,P018,2024-12-27,3,3675.69
O00098,C0043,P035,2025-02-28,9,1422.74
O00098,C0043,P015,2025-02-28,1,600.83
O00098,C0043,P048,2025-02-28,8,2199.33
O00098,C0043,P041,2025-02-28,2,4574.37
O00099,C0041,P017,2025-03-10,9,3058.26
O00099,C0041,P049,2025-03-10,1,2057.06
O00099,C0041,P021,2025-03-10,9,4164.08
O00100,C0060,P003,2024-11-19,8,3708.71
O00100,C0060,P026,2024-11-19,1,4291.06
O00100,C0060,P032,2024-11-19,4,3084.74
O00100,C0060,P025,2024-11-19,5,3888.03
O00101,C0071,P047,2024-11-24,8,2740.99
O00101,C0071,P022,2024-11-24,2,4438.71
O00102,C0004,P040,2024-04-18,4,1411.93
O00102,C0004,P036,2024-04-18,2,1176.11
O00102,C0004,P016,2024-04-18,8,573.91
O00102,C0004,P001,2024-04-18,2,222.55
O00102,C0004,P021,2024-04-18,3,4164.08
O00103,C0064,P026,2025-02-01,8,4291.06
O00103,C0064,P014,2025-02-01,4,4790.34
O00103,C0064,P042,2025-02-01,8,4394.2
O00104,C0071,P020,2024-12-27,9,486.12
O00104,C0071,P047,2024-12-27,3,2740.99
O00105,C0009,P039,2025-02-23,9,4044.72
O00105,C0009,P043,2025-02-23,5,1141.87
O00105,C0009,P017,2025-02-23,1,3058.26
O00106,C0037,P042,2024-07-23,3,4394.2
O00106,C0037,P029,2024-07-23,8,897.01
O00106,C0037,P033,2024-07-23,9,2717.29
O00107,C0062,P017,2024-11-19,6,3058.26
O00107,C0062,P039,2024-11-19,4,4044.72
O00107,C0062,P019,2024-11-19,4,711.65
O00108,C0074,P012,2024-04-25,7,3520.88
O00108,C0074,P039,2024-04-25,7,4044.72
O00108,C0074,P003,2024-04-25,3,3708.71
O00108,C0074,P038,2024-04-25,8,1222.34
O00109,C0005,P026,2025-01-31,2,4291.06
O00109,C0005,P030,2025-01-31,8,1126.58
O00110,C0013,P046,2025-01-28,2,1308.47
O00110,C0013,P001,2025-01-28,8,222.55
O00110,C0013,P008,2025-01-28,5,1074.3
O00110,C0013,P044,2025-01-28,6,2038.6
O00110,C0013,P049,2025-01-28,10,2057.06
O00111,C0089,P033,2024-06-17,7,2717.29
O00111,C0089,P043,2024-06-17,6,1141.87
O00111,C0089,P043,2024-06-17,8,1141.87
O00111,C0089,P043,2024-06-17,9,1141.87
O00112,C0005,P004,2024-10-09,7,526.0
O00112,C0005,P032,2024-10-09,2,3084.74
O00112,C0005,P047,2024-10-09,2,2740.99
O00112,C0005,P050,2024-10-09,8,4986.9
O00112,C0005,P038,2024-10-09,3,1222.34
O00113,C0089,P046,2024-10-28,5,1308.47
O00113,C0089,P003,2024-10-28,6,3708.71
O00113,C0089,P040,2024-10-28,6,1411.93
O00114,C0056,P013,2024-12-19,3,1461.57
O00114,C0056,P021,2024-12-19,3,4164.08
O00115,C0023,P031,2024-09-28,7,3538.92
O00116,C0080,P025,2025-03-31,4,3888.03
O00116,C0080,P030,2025-03-31,8,1126.58
O00117,C0082,P023,2024-07-27,8,2929.03
O00117,C0082,P034,2024-07-27,5,900.67
O00117,C0082,P045,2024-07-27,9,800.07
O00118,C0021,P023,2024-06-19,6,2929.03
O00119,C0076,P032,2024-11-23,5,3084.74
O00119,C0076,P022,2024-11-23,4,4438.71
O00119,C0076,P013,2024-11-23,7,1461.57
O00120,C0062,P012,2024-09-26,10,3520.88
O00121,C0046,P015,2024-12-12,1,600.83
O00121,C0046,P035,2024-12-12,10,1422.74
O00121,C0046,P002,2024-12-12,1,1299.97
O00121,C0046,P042,2024-12-12,10,4394.2
O00121,C0046,P020,2024-12-12,8,486.12
O00122,C0037,P031,2025-02-20,4,3538.92
O00122,C0037,P018,2025-02-20,10,3675.69
O00123,C0033,P032,2024-10-17,1,3084.74
O00123,C0033,P046,2024-10-17,5,1308.47
O00124,C0057,P029,2024-05-15,3,897.01
O00125,C0012,P017,2024-10-09,9,3058.26
